iter	Passed	Remaining
0	148	147861
1	149	74800
2	151	50416
3	153	38234
4	155	30906
5	157	26028
6	159	22556
7	160	19954
8	162	17930
9	164	16293
10	166	14953
11	168	13881
12	170	12947
13	172	12140
14	174	11457
15	176	10872
16	178	10340
17	180	9858
18	182	9432
19	184	9064
20	186	8715
21	188	8397
22	190	8109
23	192	7827
24	194	7572
25	195	7342
26	199	7192
27	201	7009
28	203	6829
29	206	6669
30	208	6508
31	210	6354
32	211	6201
33	213	6063
34	215	5937
35	217	5816
36	219	5710
37	221	5603
38	223	5498
39	225	5400
40	226	5304
41	229	5225
42	231	5143
43	232	5060
44	235	4989
45	236	4915
46	238	4840
47	240	4770
48	243	4726
49	245	4672
50	247	4611
51	249	4556
52	251	4501
53	253	4443
54	255	4387
55	257	4342
56	260	4302
57	262	4263
58	264	4221
59	267	4184
60	269	4147
61	271	4105
62	273	4068
63	275	4024
64	276	3980
65	278	3939
66	280	3903
67	281	3855
68	282	3818
69	284	3785
70	286	3749
71	288	3718
72	290	3688
73	292	3656
74	294	3627
75	295	3596
76	297	3565
77	299	3538
78	301	3511
79	303	3486
80	305	3464
81	307	3438
82	309	3418
83	311	3395
84	313	3369
85	314	3345
86	316	3316
87	317	3295
88	319	3273
89	321	3251
90	323	3231
91	325	3211
92	327	3193
93	329	3173
94	330	3152
95	332	3134
96	335	3119
97	336	3099
98	338	3081
99	340	3062
100	342	3044
101	343	3020
102	345	3009
103	348	3001
104	350	2989
105	352	2973
106	354	2959
107	357	2948
108	358	2934
109	361	2921
110	363	2909
111	365	2897
112	367	2882
113	369	2868
114	370	2854
115	372	2842
116	374	2829
117	376	2816
118	378	2800
119	380	2787
120	381	2773
121	383	2760
122	384	2743
123	386	2730
124	388	2718
125	390	2706
126	392	2694
127	393	2679
128	395	2670
129	397	2660
130	399	2652
131	401	2642
132	403	2631
133	405	2622
134	408	2614
135	410	2604
136	412	2597
137	414	2586
138	415	2576
139	417	2566
140	419	2556
141	421	2546
142	423	2537
143	426	2532
144	428	2526
145	430	2517
146	432	2511
147	434	2501
148	436	2490
149	438	2483
150	440	2475
151	442	2470
152	445	2466
153	447	2459
154	449	2451
155	451	2443
156	454	2439
157	456	2432
158	458	2424
159	460	2417
160	462	2410
161	464	2402
162	466	2395
163	468	2387
164	470	2379
165	471	2371
166	474	2364
167	475	2356
168	477	2349
169	480	2343
170	482	2337
171	484	2330
172	485	2322
173	487	2315
174	489	2307
175	491	2300
176	493	2292
177	495	2287
178	497	2281
179	499	2273
180	500	2262
181	501	2255
182	503	2247
183	505	2240
184	506	2233
185	508	2225
186	510	2218
187	511	2210
188	513	2202
189	515	2197
190	517	2191
191	519	2184
192	521	2179
193	523	2173
194	525	2168
195	527	2162
196	528	2155
197	530	2149
198	532	2143
199	534	2137
200	536	2132
201	538	2126
202	540	2121
203	542	2115
204	544	2109
205	545	2103
206	547	2098
207	549	2092
208	551	2087
209	553	2082
210	555	2076
211	557	2071
212	559	2066
213	561	2060
214	562	2054
215	564	2048
216	566	2043
217	568	2037
218	569	2031
219	571	2025
220	572	2019
221	574	2013
222	576	2008
223	578	2003
224	580	2000
225	582	1996
226	585	1992
227	587	1990
228	590	1986
229	592	1984
230	594	1980
231	597	1978
232	600	1976
233	602	1973
234	605	1969
235	607	1966
236	609	1962
237	612	1959
238	614	1955
239	616	1952
240	618	1949
241	621	1945
242	623	1943
243	626	1942
244	629	1939
245	632	1938
246	634	1935
247	637	1932
248	640	1931
249	642	1928
250	645	1925
251	647	1922
252	650	1919
253	652	1917
254	655	1915
255	658	1912
256	660	1910
257	663	1907
258	665	1904
259	668	1903
260	671	1900
261	673	1897
262	676	1894
263	678	1892
264	681	1889
265	684	1889
266	687	1887
267	689	1884
268	692	1881
269	694	1878
270	696	1874
271	699	1871
272	701	1867
273	703	1864
274	706	1861
275	708	1857
276	711	1856
277	714	1855
278	716	1852
279	719	1849
280	721	1845
281	723	1842
282	725	1838
283	727	1834
284	729	1831
285	732	1827
286	734	1824
287	736	1821
288	739	1819
289	741	1814
290	743	1811
291	745	1807
292	747	1804
293	749	1799
294	751	1796
295	753	1792
296	755	1788
297	757	1785
298	760	1782
299	762	1778
300	764	1775
301	766	1771
302	768	1767
